,Unnamed: 0,movie_imdb_link,imdbID,Title,Released,Director,imdbRating,ProductionName1,BoxOfficeAmount1,Actor1,Actor2,Actor3,Actor4,Lan1,Lan2,Country1,Country2
0,0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,tt0499549,Avatar,18-Dec-09,James Cameron,7.8,20th Century Fox,"$749,700,000 ",Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang,"English,",Spanish,"UK,",USA
1,1,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,tt0449088,Pirates of the Caribbean: At World's End,25-May-07,Gore Verbinski,7.1,Buena Vista,"$309,404,152 ",Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley,English,,USA,
2,2,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,tt2379713,Spectre,6-Nov-15,Sam Mendes,6.8,Sony Pictures,"$208,777,731 ",Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes,"English,","Spanish,","UK,",USA
3,3,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,tt1345836,The Dark Knight Rises,20-Jul-12,Christopher Nolan,8.4,Warner Bros. Pictures,"$448,130,642 ",Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt,"English,",Arabic,"UK,",USA
4,4,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,tt5289954,Star Wars: Episode VII - The Force Awakens,18-Dec-15,Doug Walker,7.2,,,Doug Walker, Rob Walker,,,,,,
5,5,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,tt0401729,John Carter,9-Mar-12,Andrew Stanton,6.6,Walt Disney Pictures,"$73,058,679 ",Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe,English,,USA,
6,6,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,tt0413300,Spider-Man 3,4-May-07,Sam Raimi,6.2,Sony Pictures,"$336,530,303 ",Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church,"English,",French,USA,
22,22,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,tt0398286,Tangled,24-Nov-10,"Nathan Greno, Byron Howard",7.8,Walt Disney Pictures,"$200,803,309 ",Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman,English,,USA,
23,23,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,tt2395427,Avengers: Age of Ultron,1-May-15,Joss Whedon,7.4,Walt Disney Pictures,"$429,113,729 ",Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans,English,,USA,
24,24,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,tt0417741,Harry Potter and the Half-Blood Prince,15-Jul-09,David Yates,7.6,Warner Bros. Pictures,"$301,920,409 ",Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Johnson,English,,"UK,",USA
25,25,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,tt2975590,Batman v Superman: Dawn of Justice,25-Mar-16,Zack Snyder,6.6,Warner Bros. Pictures,"$293,792,936 ",Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg,English,,USA,
26,26,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,tt0348150,Superman Returns,28-Jun-06,Bryan Singer,6.1,Warner Bros. Pictures,"$200,100,000 ",Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden,"English,","German,",USA,
27,27,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,tt0830515,Quantum of Solace,14-Nov-08,Marc Forster,6.6,Sony/MGM,"$168,400,000 ",Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench,"English,","Spanish,","UK,",USA
28,28,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,tt0383574,Pirates of the Caribbean: Dead Man's Chest,7-Jul-06,Gore Verbinski,7.3,Buena Vista,"$423,032,628 ",Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport,"English,","Turkish,",USA,
29,29,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,tt1210819,The Lone Ranger,3-Jul-13,Gore Verbinski,6.5,Walt Disney Pictures,"$89,289,910 ",Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson,"English,",North,USA,
30,30,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,tt0770828,Man of Steel,14-Jun-13,Zack Snyder,7.1,Warner Bros. Pictures,"$291,021,565 ",Henry Cavill, Amy Adams, Michael Shannon, Diane Lane,English,,"USA,",UK
31,31,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,tt0499448,The Chronicles of Narnia: Prince Caspian,16-May-08,Andrew Adamson,6.5,Walt Disney Pictures,"$141,614,023 ",Ben Barnes, Georgie Henley, Skandar Keynes, William Moseley,English,,"USA,","Poland,"
32,32,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,tt0848228,The Avengers,4-May-12,Joss Whedon,8.1,Walt Disney Pictures,"$623,279,547 ",Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth,"English,","Russian,",USA,
48,48,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,tt1298650,Pirates of the Caribbean: On Stranger Tides,20-May-11,Rob Marshall,6.6,Walt Disney Pictures,"$241,063,875 ",Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane,"English,",Spanish,"USA,",UK
49,49,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,tt1409024,Men in Black 3,25-May-12,Barry Sonnenfeld,6.8,Sony Pictures,"$179,020,854 ",Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement,"English,",Ukrainian,USA,
50,50,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,tt2310332,The Hobbit: The Battle of the Five Armies,17-Dec-14,Peter Jackson,7.4,Warner Bros.,"$187,747,747 ",Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott,English,,New,"Zealand,"
51,51,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,tt0948470,The Amazing Spider-Man,3-Jul-12,Marc Webb,7.0,Sony Pictures,"$262,030,663 ",Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary,English,,USA,
52,52,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,tt0955308,Robin Hood,14-May-10,Ridley Scott,6.7,Universal,"$105,219,735 ",Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt,"English,","French,","USA,",UK
53,53,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,tt1170358,The Hobbit: The Desolation of Smaug,13-Dec-13,Peter Jackson,7.9,Warner Bros.,"$180,443,783 ",Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott,English,,"USA,",New
54,54,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,tt0385752,The Golden Compass,7-Dec-07,Chris Weitz,6.1,New Line Cinema,"$70,100,000 ",Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker,"English,","Icelandic,","UK,",USA
55,55,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,tt0360717,King Kong,14-Dec-05,Peter Jackson,7.2,Universal Pictures,"$218,100,000 ",Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann,English,,New,"Zealand,"
136,136,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,tt0120338,Titanic,19-Dec-97,James Cameron,7.8,Paramount Pictures,,Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates,"English,",Swedish,USA,
137,137,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,tt3498820,Captain America: Civil War,6-May-16,"Anthony Russo, Joe Russo",7.8,Walt Disney Pictures,"$408,080,554 ",Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan,"English,","German,","USA,",Germany
138,138,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,tt1440129,Battleship,18-May-12,Peter Berg,5.8,Universal,"$65,173,160 ",Taylor Kitsch, Alexander Skarsgård, Rihanna, Brooklyn Decker,"English,",Japanese,USA,
139,139,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,tt0369610,Jurassic World,12-Jun-15,Colin Trevorrow,7.0,Universal Pictures,"$528,757,749 ",Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio,English,,USA,
140,140,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,tt1074638,Skyfall,9-Nov-12,Sam Mendes,7.8,MGM,"$299,300,000 ",Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes,English,,"UK,",USA
156,156,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,tt0316654,Spider-Man 2,30-Jun-04,Sam Raimi,7.3,Sony Pictures,"$373,377,893 ",Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina,"English,","Russian,",USA,
157,157,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,tt1300854,Iron Man 3,3-May-13,Shane Black,7.2,Walt Disney Pictures,"$408,992,272 ",Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce,English,,"China,",USA
158,158,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,tt1014759,Alice in Wonderland,5-Mar-10,Tim Burton,6.5,Walt Disney Pictures,"$319,323,000 ",Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway,English,,USA,
174,174,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,tt0376994,X-Men: The Last Stand,26-May-06,Brett Ratner,6.7,20th Century Fox,"$234,300,000 ",Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart,English,,"Canada,","USA,"
